🗣️ Available Edge TTS Voices:
  - en-NG-AbeoNeural: Male, en-NG
  - en-NG-EzinneNeural: Female, en-NG
  - en-NZ-MitchellNeural: Male, en-NZ
  - en-NZ-MollyNeural: Female, en-NZ
  - en-PH-JamesNeural: Male, en-PH
  - en-PH-RosaNeural: Female, en-PH
  - en-SG-LunaNeural: Female, en-SG
  - en-SG-WayneNeural: Male, en-SG
  - en-TZ-ElimuNeural: Male, en-TZ
  - en-TZ-ImaniNeural: Female, en-TZ
  - en-US-AIGenerate1Neural: Male, en-US
  - en-US-AIGenerate2Neural: Female, en-US
  - en-US-AdamMultilingualNeural: Male, en-US
  - en-US-AlloyTurboMultilingualNeural: Male, en-US
  - en-US-AmandaMultilingualNeural: Female, en-US
  - en-US-AmberNeural: Female, en-US
  - en-US-AnaNeural: Female, en-US
  - en-US-AndrewMultilingualNeural: Male, en-US
  - en-US-AndrewNeural: Male, en-US
  - en-US-AriaNeural: Female, en-US
  - en-US-AshTurboMultilingualNeural: Male, en-US
  - en-US-AshleyNeural: Female, en-US
  - en-US-AvaMultilingualNeural: Female, en-US
  - en-US-AvaNeural: Female, en-US
  - en-US-BlueNeural: Neutral, en-US
  - en-US-BrandonMultilingualNeural: Male, en-US
  - en-US-BrandonNeural: Male, en-US
  - en-US-BrianMultilingualNeural: Male, en-US
  - en-US-BrianNeural: Male, en-US
  - en-US-ChristopherMultilingualNeural: Male, en-US
  - en-US-ChristopherNeural: Male, en-US
  - en-US-CoraMultilingualNeural: Female, en-US
  - en-US-CoraNeural: Female, en-US
  - en-US-DavisMultilingualNeural: Male, en-US
  - en-US-DavisNeural: Male, en-US
  - en-US-DerekMultilingualNeural: Male, en-US
  - en-US-DustinMultilingualNeural: Male, en-US
  - en-US-EchoTurboMultilingualNeural: Male, en-US
  - en-US-ElizabethNeural: Female, en-US
  - en-US-EmmaMultilingualNeural: Female, en-US
  - en-US-EmmaNeural: Female, en-US
  - en-US-EricNeural: Male, en-US
  - en-US-EvelynMultilingualNeural: Female, en-US
  - en-US-FableTurboMultilingualNeural: Neutral, en-US
  - en-US-GuyNeural: Male, en-US
  - en-US-JacobNeural: Male, en-US
  - en-US-JaneNeural: Female, en-US
  - en-US-JasonNeural: Male, en-US
  - en-US-JennyMultilingualNeural: Female, en-US
  - en-US-JennyNeural: Female, en-US
  - en-US-KaiNeural: Male, en-US
  - en-US-LewisMultilingualNeural: Male, en-US
  - en-US-LolaMultilingualNeural: Female, en-US
  - en-US-LunaNeural: Female, en-US
  - en-US-MichelleNeural: Female, en-US
  - en-US-MonicaNeural: Female, en-US
  - en-US-NancyMultilingualNeural: Female, en-US
  - en-US-NancyNeural: Female, en-US
  - en-US-NovaTurboMultilingualNeural: Female, en-US
  - en-US-OnyxTurboMultilingualNeural: Male, en-US
  - en-US-PhoebeMultilingualNeural: Female, en-US
  - en-US-RogerNeural: Male, en-US
  - en-US-RyanMultilingualNeural: Male, en-US
  - en-US-SamuelMultilingualNeural: Male, en-US
  - en-US-SaraNeural: Female, en-US
  - en-US-SerenaMultilingualNeural: Female, en-US
  - en-US-ShimmerTurboMultilingualNeural: Female, en-US
  - en-US-SteffanMultilingualNeural: Male, en-US
  - en-US-SteffanNeural: Male, en-US
  - en-US-TonyNeural: Male, en-US
  - en-ZA-LeahNeural: Female, en-ZA
  - en-ZA-LukeNeural: Male, en-ZA
  - es-AR-ElenaNeural: Female, es-AR
  - es-AR-TomasNeural: Male, es-AR
  - es-BO-MarceloNeural: Male, es-BO
  - es-BO-SofiaNeural: Female, es-BO
  - es-CL-CatalinaNeural: Female, es-CL
  - es-CL-LorenzoNeural: Male, es-CL
  - es-CO-GonzaloNeural: Male, es-CO
  - es-CO-SalomeNeural: Female, es-CO
  - es-CR-JuanNeural: Male, es-CR
  - es-CR-MariaNeural: Female, es-CR
  - es-CU-BelkysNeural: Female, es-CU
  - es-CU-ManuelNeural: Male, es-CU
  - es-DO-EmilioNeural: Male, es-DO
  - es-DO-RamonaNeural: Female, es-DO
  - es-EC-AndreaNeural: Female, es-EC
  - es-EC-LuisNeural: Male, es-EC
  - es-ES-AbrilNeural: Female, es-ES
  - es-ES-AlvaroNeural: Male, es-ES
  - es-ES-ArabellaMultilingualNeural: Female, es-ES
  - es-ES-ArnauNeural: Male, es-ES
  - es-ES-DarioNeural: Male, es-ES
  - es-ES-EliasNeural: Male, es-ES
  - es-ES-ElviraNeural: Female, es-ES
  - es-ES-EstrellaNeural: Female, es-ES
  - es-ES-IreneNeural: Female, es-ES
  - es-ES-IsidoraMultilingualNeural: Female, es-ES
  - es-ES-LaiaNeural: Female, es-ES
  - es-ES-LiaNeural: Female, es-ES
  - es-ES-NilNeural: Male, es-ES
  - es-ES-SaulNeural: Male, es-ES
  - es-ES-TeoNeural: Male, es-ES
  - es-ES-TrianaNeural: Female, es-ES
  - es-ES-TristanMultilingualNeural: Male, es-ES
  - es-ES-VeraNeural: Female, es-ES
  - es-ES-XimenaMultilingualNeural: Female, es-ES
  - es-ES-XimenaNeural: Female, es-ES
  - es-GQ-JavierNeural: Male, es-GQ
  - es-GQ-TeresaNeural: Female, es-GQ
  - es-GT-AndresNeural: Male, es-GT
  - es-GT-MartaNeural: Female, es-GT
  - es-HN-CarlosNeural: Male, es-HN
  - es-HN-KarlaNeural: Female, es-HN
  - es-MX-BeatrizNeural: Female, es-MX
  - es-MX-CandelaNeural: Female, es-MX
  - es-MX-CarlotaNeural: Female, es-MX
  - es-MX-CecilioNeural: Male, es-MX
  - es-MX-DaliaMultilingualNeural: Female, es-MX
  - es-MX-DaliaNeural: Female, es-MX
  - es-MX-GerardoNeural: Male, es-MX
  - es-MX-JorgeMultilingualNeural: Male, es-MX
  - es-MX-JorgeNeural: Male, es-MX
  - es-MX-LarissaNeural: Female, es-MX
  - es-MX-LibertoNeural: Male, es-MX
  - es-MX-LucianoNeural: Male, es-MX
  - es-MX-MarinaNeural: Female, es-MX
  - es-MX-NuriaNeural: Female, es-MX
  - es-MX-PelayoNeural: Male, es-MX
  - es-MX-RenataNeural: Female, es-MX
  - es-MX-YagoNeural: Male, es-MX
  - es-NI-FedericoNeural: Male, es-NI
  - es-NI-YolandaNeural: Female, es-NI
  - es-PA-MargaritaNeural: Female, es-PA
  - es-PA-RobertoNeural: Male, es-PA
  - es-PE-AlexNeural: Male, es-PE
  - es-PE-CamilaNeural: Female, es-PE
  - es-PR-KarinaNeural: Female, es-PR
  - es-PR-VictorNeural: Male, es-PR
  - es-PY-MarioNeural: Male, es-PY
  - es-PY-TaniaNeural: Female, es-PY
  - es-SV-LorenaNeural: Female, es-SV
  - es-SV-RodrigoNeural: Male, es-SV
  - es-US-AlonsoNeural: Male, es-US
  - es-US-PalomaNeural: Female, es-US
  - es-UY-MateoNeural: Male, es-UY
  - es-UY-ValentinaNeural: Female, es-UY
  - es-VE-PaolaNeural: Female, es-VE
  - es-VE-SebastianNeural: Male, es-VE
  - et-EE-AnuNeural: Female, et-EE
  - et-EE-KertNeural: Male, et-EE
  - eu-ES-AinhoaNeural: Female, eu-ES
  - eu-ES-AnderNeural: Male, eu-ES
  - fa-IR-DilaraNeural: Female, fa-IR
  - fa-IR-FaridNeural: Male, fa-IR
  - fi-FI-HarriNeural: Male, fi-FI
  - fi-FI-NooraNeural: Female, fi-FI
  - fi-FI-SelmaNeural: Female, fi-FI
  - fil-PH-AngeloNeural: Male, fil-PH
  - fil-PH-BlessicaNeural: Female, fil-PH
  - fr-BE-CharlineNeural: Female, fr-BE
  - fr-BE-GerardNeural: Male, fr-BE
  - fr-CA-AntoineNeural: Male, fr-CA
  - fr-CA-JeanNeural: Male, fr-CA
  - fr-CA-SylvieNeural: Female, fr-CA
  - fr-CA-ThierryNeural: Male, fr-CA
  - fr-CH-ArianeNeural: Female, fr-CH
  - fr-CH-FabriceNeural: Male, fr-CH
  - fr-FR-AlainNeural: Male, fr-FR
  - fr-FR-BrigitteNeural: Female, fr-FR
  - fr-FR-CelesteNeural: Female, fr-FR
  - fr-FR-ClaudeNeural: Male, fr-FR
  - fr-FR-CoralieNeural: Female, fr-FR
  - fr-FR-DeniseNeural: Female, fr-FR
  - fr-FR-EloiseNeural: Female, fr-FR
  - fr-FR-HenriNeural: Male, fr-FR
  - fr-FR-JacquelineNeural: Female, fr-FR
  - fr-FR-JeromeNeural: Male, fr-FR
  - fr-FR-JosephineNeural: Female, fr-FR
  - fr-FR-LucienMultilingualNeural: Male, fr-FR
  - fr-FR-MauriceNeural: Male, fr-FR
  - fr-FR-RemyMultilingualNeural: Male, fr-FR
  - fr-FR-VivienneMultilingualNeural: Female, fr-FR
  - fr-FR-YvesNeural: Male, fr-FR
  - fr-FR-YvetteNeural: Female, fr-FR
  - ga-IE-ColmNeural: Male, ga-IE
  - ga-IE-OrlaNeural: Female, ga-IE
  - gl-ES-RoiNeural: Male, gl-ES
  - gl-ES-SabelaNeural: Female, gl-ES
  - gu-IN-DhwaniNeural: Female, gu-IN
  - gu-IN-NiranjanNeural: Male, gu-IN
  - he-IL-AvriNeural: Male, he-IL
  - he-IL-HilaNeural: Female, he-IL
  - hi-IN-AaravNeural: Male, hi-IN
  - hi-IN-AartiNeural: Female, hi-IN
  - hi-IN-AnanyaNeural: Female, hi-IN
  - hi-IN-ArjunNeural: Male, hi-IN
  - hi-IN-KavyaNeural: Female, hi-IN
  - hi-IN-KunalNeural: Male, hi-IN
  - hi-IN-MadhurNeural: Male, hi-IN
  - hi-IN-RehaanNeural: Male, hi-IN
  - hi-IN-SwaraNeural: Female, hi-IN
  - hr-HR-GabrijelaNeural: Female, hr-HR
  - hr-HR-SreckoNeural: Male, hr-HR
  - hu-HU-NoemiNeural: Female, hu-HU
  - hu-HU-TamasNeural: Male, hu-HU
  - hy-AM-AnahitNeural: Female, hy-AM
  - hy-AM-HaykNeural: Male, hy-AM
